"timestamp_utc","soak_window","target_vus","actual_vus_live","actual_vus_live_source","role","pid","process_available","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T17:26:50.3126621Z","warmup_entry","10","9","k6_progress","backend","28188","True","0.129","50.621","58.152","12"
"2026-08-17T17:26:50.3126621Z","warmup_entry","10","9","k6_progress","k6","10312","True","0","39.52","66.855","17"
"2026-08-17T17:26:52.3222996Z","warmup_entry","10","9","k6_progress","backend","28188","True","0.065","50.812","58.414","12"
"2026-08-17T17:26:52.3222996Z","warmup_entry","10","9","k6_progress","k6","10312","True","0","39.598","66.934","17"
"2026-08-17T17:26:54.3363328Z","warmup_entry","10","9","k6_progress","backend","28188","True","0.129","51.004","58.672","12"
"2026-08-17T17:26:54.3363328Z","warmup_entry","10","9","k6_progress","k6","10312","True","0","39.609","66.934","17"
"2026-08-17T17:26:56.3402872Z","warmup_entry","11","10","k6_progress","backend","28188","True","0.195","51.262","58.93","12"
"2026-08-17T17:26:56.3402872Z","warmup_entry","11","10","k6_progress","k6","10312","True","0.065","39.773","67.074","17"
"2026-08-17T17:26:58.3550478Z","warmup_entry","11","10","k6_progress","backend","28188","True","0","51.398","59.191","12"
"2026-08-17T17:26:58.3550478Z","warmup_entry","11","10","k6_progress","k6","10312","True","0","39.855","67.074","17"
"2026-08-17T17:27:00.3589537Z","warmup_entry","11","10","k6_progress","backend","28188","True","0.26","51.645","59.191","12"
"2026-08-17T17:27:00.3589537Z","warmup_entry","11","10","k6_progress","k6","10312","True","0.195","40.57","67.824","17"
"2026-08-17T17:27:02.3729690Z","warmup_entry","12","11","k6_progress","backend","28188","True","0.065","52.027","59.516","12"
"2026-08-17T17:27:02.3729690Z","warmup_entry","12","11","k6_progress","k6","10312","True","0.065","40.578","67.824","17"
"2026-08-17T17:27:04.3922727Z","warmup_entry","12","11","k6_progress","backend","28188","True","0.129","52.473","60.031","12"
"2026-08-17T17:27:04.3922727Z","warmup_entry","12","11","k6_progress","k6","10312","True","0","40.66","67.824","17"
"2026-08-17T17:27:06.4087210Z","early_steady","12","11","k6_progress","backend","28188","True","0.194","52.473","60.031","12"
"2026-08-17T17:27:06.4087210Z","early_steady","12","11","k6_progress","k6","10312","True","0.258","40.91","68.004","17"
"2026-08-17T17:27:08.4228665Z","early_steady","12","12","k6_progress","backend","28188","True","0.129","52.844","60.812","12"
"2026-08-17T17:27:08.4228665Z","early_steady","12","12","k6_progress","k6","10312","True","0.259","40.926","68.004","17"
"2026-08-17T17:27:10.4405804Z","early_steady","12","12","k6_progress","backend","28188","True","0.129","53.234","60.812","12"
"2026-08-17T17:27:10.4405804Z","early_steady","12","12","k6_progress","k6","10312","True","0.258","41.414","68.422","17"
"2026-08-17T17:27:12.4562954Z","early_steady","12","12","k6_progress","backend","28188","True","0","53.301","60.812","12"
"2026-08-17T17:27:12.4562954Z","early_steady","12","12","k6_progress","k6","10312","True","0","41.594","68.594","17"
"2026-08-17T17:27:14.4698755Z","early_steady","12","12","k6_progress","backend","28188","True","0","53.934","61.59","12"
"2026-08-17T17:27:14.4698755Z","early_steady","12","12","k6_progress","k6","10312","True","0","41.605","68.594","17"
"2026-08-17T17:27:16.4857843Z","early_steady","12","12","k6_progress","backend","28188","True","0.129","54.055","62.07","12"
"2026-08-17T17:27:16.4857843Z","early_steady","12","12","k6_progress","k6","10312","True","0.323","41.703","68.688","17"
