"timestamp_utc","role","pid","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T03:31:12.3821577Z","backend","15848","0","57.98","65.203","14"
"2026-08-17T03:31:12.3821577Z","k6","4156","0.502","35.594","63.094","19"
"2026-08-17T03:31:13.4173219Z","backend","15848","0.252","58.047","65.203","14"
"2026-08-17T03:31:13.4173219Z","k6","4156","0.629","35.469","63","19"
"2026-08-17T03:31:14.4612929Z","backend","15848","0","58.184","65.723","14"
"2026-08-17T03:31:14.4612929Z","k6","4156","0.249","35.469","63","19"
"2026-08-17T03:31:15.4873305Z","backend","15848","0","58.184","65.723","14"
"2026-08-17T03:31:15.4873305Z","k6","4156","0.254","35.477","63","19"
"2026-08-17T03:31:16.5165419Z","backend","15848","0","58.184","65.723","14"
"2026-08-17T03:31:16.5165419Z","k6","4156","0.506","35.477","63","19"
"2026-08-17T03:31:17.5514064Z","backend","15848","0.126","58.184","65.723","14"
"2026-08-17T03:31:17.5514064Z","k6","4156","0.252","35.477","63","19"
"2026-08-17T03:31:18.5781710Z","backend","15848","1.522","58","65.141","14"
"2026-08-17T03:31:18.5781710Z","k6","4156","0.254","35.477","63","19"
"2026-08-17T03:31:19.6128442Z","backend","15848","0.378","58.016","65.141","14"
"2026-08-17T03:31:19.6128442Z","k6","4156","0.503","35.262","62.75","19"
"2026-08-17T03:31:20.6515939Z","backend","15848","0.376","58.09","65.141","14"
"2026-08-17T03:31:20.6515939Z","k6","4156","0.251","35.262","62.75","19"
"2026-08-17T03:31:21.6796695Z","backend","15848","0.127","58.215","65.363","14"
"2026-08-17T03:31:21.6796695Z","k6","4156","0.633","35.262","62.75","19"
"2026-08-17T03:31:22.7113306Z","backend","15848","0","58.215","65.363","14"
"2026-08-17T03:31:22.7113306Z","k6","4156","0.252","35.262","62.75","19"
"2026-08-17T03:31:23.7499518Z","backend","15848","0.125","58.215","65.363","14"
"2026-08-17T03:31:23.7499518Z","k6","4156","0.251","35.266","62.75","19"
"2026-08-17T03:31:24.7846343Z","backend","15848","0.755","58.215","65.363","14"
"2026-08-17T03:31:24.7846343Z","k6","4156","0.252","35.289","62.75","19"
"2026-08-17T03:31:25.8113448Z","backend","15848","0","58.215","65.363","14"
"2026-08-17T03:31:25.8113448Z","k6","4156","0","35.289","62.75","19"
"2026-08-17T03:31:26.8506618Z","backend","15848","0","58.215","65.363","14"
"2026-08-17T03:31:26.8506618Z","k6","4156","0.376","35.289","62.75","19"
"2026-08-17T03:31:27.8896447Z","backend","15848","0","58.215","65.363","14"
"2026-08-17T03:31:27.8896447Z","k6","4156","0.627","35.289","62.75","19"
"2026-08-17T03:31:28.9192176Z","backend","15848","0","58.215","65.363","14"
"2026-08-17T03:31:28.9192176Z","k6","4156","0.126","35.289","62.75","19"
"2026-08-17T03:31:29.9514687Z","backend","15848","0.126","58.215","65.363","14"
"2026-08-17T03:31:29.9514687Z","k6","4156","0.252","35.289","62.75","19"
"2026-08-17T03:31:30.9877507Z","backend","15848","0","58.215","65.363","14"
"2026-08-17T03:31:30.9877507Z","k6","4156","0.377","35.289","62.75","19"
"2026-08-17T03:31:32.0297024Z","backend","15848","0.125","58.215","65.363","14"
"2026-08-17T03:31:32.0297024Z","k6","4156","0.25","35.289","62.75","19"
"2026-08-17T03:31:33.0610995Z","backend","15848","0.757","58.215","65.363","14"
"2026-08-17T03:31:33.0610995Z","k6","4156","0.505","35.301","62.75","19"
"2026-08-17T03:31:34.1213868Z","backend","15848","0.368","58.215","65.363","14"
"2026-08-17T03:31:34.1213868Z","k6","4156","0.246","35.316","62.75","19"
"2026-08-17T03:31:35.1513487Z","backend","15848","0","58.215","65.363","14"
"2026-08-17T03:31:35.1513487Z","k6","4156","0.126","35.129","62.562","19"
"2026-08-17T03:31:36.1871094Z","backend","15848","0.126","58.215","65.363","14"
"2026-08-17T03:31:36.1871094Z","k6","4156","0.251","35.129","62.562","19"
"2026-08-17T03:31:37.2216271Z","backend","15848","0","58.215","65.363","14"
"2026-08-17T03:31:37.2216271Z","k6","4156","0","35.129","62.562","19"
"2026-08-17T03:31:38.2622837Z","backend","15848","0.375","58.215","65.363","14"
"2026-08-17T03:31:38.2622837Z","k6","4156","0.25","35.078","62.465","16"
"2026-08-17T03:31:39.2724502Z","backend","15848","0.258","58.215","65.363","14"
"2026-08-17T03:31:39.2724502Z","k6","4156","0.516","35.078","62.465","16"
"2026-08-17T03:31:40.2956836Z","backend","15848","0","58.215","65.363","14"
"2026-08-17T03:31:40.2956836Z","k6","4156","0","35.078","62.465","16"
"2026-08-17T03:31:41.3143047Z","backend","15848","0","58.215","65.363","14"
"2026-08-17T03:31:41.3143047Z","k6","4156","0.256","35.18","62.566","16"
"2026-08-17T03:31:42.3351954Z","backend","15848","0","58.215","65.363","14"
"2026-08-17T03:31:42.3351954Z","k6","4156","0.383","35.531","62.918","16"
"2026-08-17T03:31:43.3484137Z","backend","15848","0","58.215","65.363","14"
"2026-08-17T03:31:43.3484137Z","k6","4156","0.129","35.531","62.918","16"
"2026-08-17T03:31:44.3546267Z","backend","15848","0","58.215","65.363","14"
"2026-08-17T03:31:44.3546267Z","k6","4156","0","35.531","62.918","16"
"2026-08-17T03:31:45.3727008Z","backend","15848","0.128","58.215","65.363","14"
"2026-08-17T03:31:45.3727008Z","k6","4156","0","35.531","62.918","16"
"2026-08-17T03:31:46.3915301Z","backend","15848","0.256","58.184","65.301","12"
"2026-08-17T03:31:46.3915301Z","k6","4156","0.256","35.547","62.918","16"
"2026-08-17T03:31:47.4213682Z","backend","15848","0.253","58.184","65.301","12"
"2026-08-17T03:31:47.4213682Z","k6","4156","0.632","35.555","62.918","16"
"2026-08-17T03:31:48.4342726Z","backend","15848","0","58.215","65.531","12"
"2026-08-17T03:31:48.4342726Z","k6","4156","0","35.555","62.918","16"
"2026-08-17T03:31:49.4505638Z","backend","15848","0","58.215","65.531","12"
"2026-08-17T03:31:49.4505638Z","k6","4156","0.128","35.621","62.996","16"
"2026-08-17T03:31:50.4777711Z","backend","15848","0.254","58.262","65.605","12"
"2026-08-17T03:31:50.4777711Z","k6","4156","0","35.621","62.996","16"
"2026-08-17T03:31:51.5007766Z","backend","15848","0","58.262","65.605","12"
"2026-08-17T03:31:51.5007766Z","k6","4156","0.127","35.637","62.996","16"
"2026-08-17T03:31:52.5276830Z","backend","15848","0.634","58.586","65.812","12"
"2026-08-17T03:31:52.5276830Z","k6","4156","0.507","35.645","63.004","16"
"2026-08-17T03:31:53.5594177Z","backend","15848","0.252","58.207","65.664","12"
"2026-08-17T03:31:53.5594177Z","k6","4156","0.252","35.645","63.004","16"
"2026-08-17T03:31:54.5931540Z","backend","15848","0.252","58.207","65.664","12"
"2026-08-17T03:31:54.5931540Z","k6","4156","0.252","35.645","63.004","16"
"2026-08-17T03:31:55.6213165Z","backend","15848","0.38","58.207","65.664","12"
"2026-08-17T03:31:55.6213165Z","k6","4156","0.127","35.652","63.004","16"
"2026-08-17T03:31:56.6512188Z","backend","15848","0","58.207","65.664","12"
"2026-08-17T03:31:56.6512188Z","k6","4156","0.379","35.652","63.004","16"
"2026-08-17T03:31:57.6885853Z","backend","15848","0","58.207","65.664","12"
"2026-08-17T03:31:57.6885853Z","k6","4156","0.628","35.797","63.145","16"
"2026-08-17T03:31:58.7213253Z","backend","15848","0","58.207","65.664","12"
"2026-08-17T03:31:58.7213253Z","k6","4156","0.252","35.844","63.191","16"
"2026-08-17T03:31:59.7595830Z","backend","15848","0.502","58.207","65.664","12"
"2026-08-17T03:31:59.7595830Z","k6","4156","0.251","35.855","63.191","16"
"2026-08-17T03:32:00.7879257Z","backend","15848","0.38","58.336","65.812","12"
"2026-08-17T03:32:00.7879257Z","k6","4156","0.253","35.879","63.199","16"
"2026-08-17T03:32:01.8214594Z","backend","15848","0.63","58.395","65.34","12"
"2026-08-17T03:32:01.8214594Z","k6","4156","0.378","35.918","63.223","16"
"2026-08-17T03:32:02.8515584Z","backend","15848","0.253","58.395","65.34","12"
"2026-08-17T03:32:02.8515584Z","k6","4156","0.126","35.918","63.223","16"
"2026-08-17T03:32:03.8875209Z","backend","15848","0.126","58.395","65.34","12"
"2026-08-17T03:32:03.8875209Z","k6","4156","0.251","35.918","63.223","16"
"2026-08-17T03:32:04.9213162Z","backend","15848","0","58.395","65.34","12"
"2026-08-17T03:32:04.9213162Z","k6","4156","0.252","35.918","63.223","16"
"2026-08-17T03:32:05.9492219Z","backend","15848","0.127","58.395","65.34","12"
"2026-08-17T03:32:05.9492219Z","k6","4156","0.253","35.922","63.223","16"
"2026-08-17T03:32:06.9815450Z","backend","15848","0.126","58.395","65.34","12"
"2026-08-17T03:32:06.9815450Z","k6","4156","0.126","35.926","63.23","16"
"2026-08-17T03:32:08.0147785Z","backend","15848","0.126","58.395","65.34","12"
"2026-08-17T03:32:08.0147785Z","k6","4156","0.252","35.926","63.23","16"
"2026-08-17T03:32:09.0466616Z","backend","15848","0","58.395","65.34","12"
"2026-08-17T03:32:09.0466616Z","k6","4156","0.252","35.926","63.23","16"
"2026-08-17T03:32:10.0790682Z","backend","15848","0.126","58.395","65.34","12"
"2026-08-17T03:32:10.0790682Z","k6","4156","0","35.926","63.23","16"
"2026-08-17T03:32:11.1115582Z","backend","15848","0","58.395","65.34","12"
"2026-08-17T03:32:11.1115582Z","k6","4156","0.126","35.926","63.23","16"
"2026-08-17T03:32:12.1443984Z","backend","15848","0.252","58.395","65.34","12"
"2026-08-17T03:32:12.1443984Z","k6","4156","0.504","35.926","63.23","16"
"2026-08-17T03:32:13.1788807Z","backend","15848","0.126","58.395","65.34","12"
