"timestamp_utc","phase","role","pid","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T04:27:20.8528323Z","steady_4vu","k6","24636","0.064","33.902","61.344","17"
"2026-08-17T04:27:22.9027416Z","steady_4vu","backend","10924","0.064","47.863","57.586","12"
"2026-08-17T04:27:22.9027416Z","steady_4vu","k6","24636","0.064","33.902","61.344","17"
"2026-08-17T04:27:24.9658526Z","steady_4vu","backend","10924","0.063","48.062","58.105","12"
"2026-08-17T04:27:24.9658526Z","steady_4vu","k6","24636","0.063","33.91","61.344","17"
"2026-08-17T04:27:27.0272395Z","steady_4vu","backend","10924","0.063","48.07","58.105","12"
"2026-08-17T04:27:27.0272395Z","steady_4vu","k6","24636","0.063","33.91","61.344","17"
"2026-08-17T04:27:29.0782108Z","steady_4vu","backend","10924","0.063","48.086","58.105","12"
"2026-08-17T04:27:29.0782108Z","steady_4vu","k6","24636","0.127","33.914","61.344","17"
"2026-08-17T04:27:31.1216631Z","steady_4vu","backend","10924","0.064","48.301","58.105","12"
"2026-08-17T04:27:31.1216631Z","steady_4vu","k6","24636","0.127","33.918","61.344","17"
"2026-08-17T04:27:33.1607686Z","steady_4vu","backend","10924","0.128","48.496","58.105","12"
"2026-08-17T04:27:33.1607686Z","steady_4vu","k6","24636","0.128","33.961","61.344","17"
"2026-08-17T04:27:35.2357888Z","steady_4vu","backend","10924","0","48.496","58.105","12"
"2026-08-17T04:27:35.2357888Z","steady_4vu","k6","24636","0.251","33.965","61.344","17"
"2026-08-17T04:27:37.2886266Z","steady_4vu","backend","10924","0.063","48.496","58.105","12"
"2026-08-17T04:27:37.2886266Z","steady_4vu","k6","24636","0","33.965","61.344","17"
"2026-08-17T04:27:39.3551108Z","steady_4vu","backend","10924","0.063","48.691","58.621","12"
"2026-08-17T04:27:39.3551108Z","steady_4vu","k6","24636","0.189","33.988","61.344","17"
"2026-08-17T04:27:41.3985277Z","steady_4vu","backend","10924","0.127","48.707","58.621","12"
"2026-08-17T04:27:41.3985277Z","steady_4vu","k6","24636","0.127","33.988","61.344","17"
"2026-08-17T04:27:43.4372195Z","steady_4vu","backend","10924","0.064","48.777","58.621","12"
"2026-08-17T04:27:43.4372195Z","steady_4vu","k6","24636","0.064","33.988","61.344","17"
"2026-08-17T04:27:45.4755590Z","steady_4vu","backend","10924","0.192","48.852","58.621","12"
"2026-08-17T04:27:45.4755590Z","steady_4vu","k6","24636","0.064","34.016","61.344","17"
"2026-08-17T04:27:47.5403859Z","steady_4vu","backend","10924","0.378","48.977","58.879","12"
"2026-08-17T04:27:47.5403859Z","steady_4vu","k6","24636","0.315","34.016","61.344","17"
"2026-08-17T04:27:49.6774972Z","steady_4vu","backend","10924","0","48.977","58.879","12"
"2026-08-17T04:27:49.6774972Z","steady_4vu","k6","24636","0.244","34.016","61.344","17"
"2026-08-17T04:27:51.8038404Z","steady_4vu","backend","10924","0.184","49.043","58.879","12"
"2026-08-17T04:27:51.8038404Z","steady_4vu","k6","24636","0.306","34.047","61.344","17"
"2026-08-17T04:27:53.9494513Z","steady_4vu","backend","10924","0.061","49.043","58.879","12"
"2026-08-17T04:27:53.9494513Z","steady_4vu","k6","24636","0.303","34.047","61.344","17"
"2026-08-17T04:27:56.0428168Z","steady_4vu","backend","10924","0.062","49.395","59.203","14"
"2026-08-17T04:27:56.0428168Z","steady_4vu","k6","24636","0.124","34.047","61.344","17"
"2026-08-17T04:27:58.1331980Z","steady_4vu","backend","10924","0","49.395","59.203","14"
"2026-08-17T04:27:58.1331980Z","steady_4vu","k6","24636","0.187","34.051","61.344","17"
"2026-08-17T04:28:00.1872197Z","steady_4vu","backend","10924","0.063","49.395","59.203","14"
"2026-08-17T04:28:00.1872197Z","steady_4vu","k6","24636","0.063","34.055","61.344","17"
"2026-08-17T04:28:02.2522841Z","steady_4vu","backend","10924","0.252","49.691","59.719","14"
