"timestamp_utc","phase","cpu_percent","committed_memory_percent","disk_bytes_per_second","network_bytes_per_second"
"2026-08-17T04:26:19.1380549Z","ramp_up","31.757","76.304","247962427.614","217.338"
"2026-08-17T04:26:23.1425857Z","ramp_up","25.179","76.291","220613182.941","0"
"2026-08-17T04:26:25.2259848Z","ramp_up","36.576","76.15","173827591.28","119711.903"
"2026-08-17T04:26:27.3045529Z","ramp_up","30.855","76.276","301018284.061","27881.853"
"2026-08-17T04:26:29.3707781Z","ramp_up","29.733","76.297","17705379.229","389247.318"
"2026-08-17T04:26:31.4364243Z","ramp_up","25.248","76.181","2334670.611","0"
"2026-08-17T04:26:33.5137662Z","ramp_up","26.886","76.166","3314505.786","217.618"
"2026-08-17T04:26:35.5967844Z","ramp_up","28.523","76.118","1164633.426","531152.916"
"2026-08-17T04:26:37.6718676Z","ramp_up","10.817","76.099","2388031.348","387.852"
"2026-08-17T04:26:39.7365771Z","ramp_up","14.851","76.135","884376.434","472.432"
"2026-08-17T04:26:41.8179387Z","ramp_up","18.364","76.136","2315272.194","3677.775"
"2026-08-17T04:26:43.8672281Z","ramp_up","15.127","76.136","3109809.591","2010.666"
"2026-08-17T04:26:45.9030483Z","ramp_up","12.757","76.434","631465.171","541.632"
"2026-08-17T04:26:47.9468482Z","ramp_up","34.174","76.415","3270269.433","0"
"2026-08-17T04:26:50.0078386Z","ramp_up","10.945","76.37","1300091.797","959.401"
"2026-08-17T04:26:52.0717568Z","ramp_up","18.083","76.247","1379578.25","262473.058"
"2026-08-17T04:26:54.1368867Z","ramp_up","18.076","76.24","2198394.576","554.703"
"2026-08-17T04:26:56.2048582Z","ramp_up","17.029","76.101","1306333.881","326.726"
"2026-08-17T04:26:58.2638259Z","ramp_up","15.218","76.16","8868080.933","4264.701"
"2026-08-17T04:27:00.3185118Z","ramp_up","42.661","76.081","12541805.692","5805.113"
"2026-08-17T04:27:02.3712612Z","ramp_up","13.487","76.05","16247106.241","0"
"2026-08-17T04:27:04.4215193Z","ramp_up","15.321","76.082","3633506.73","1490.227"
"2026-08-17T04:27:06.4768642Z","ramp_up","15.696","76.102","21149813.117","16211.531"
"2026-08-17T04:27:08.5299876Z","ramp_up","17.254","76.113","3044900.085","3304.589"
"2026-08-17T04:27:10.5830254Z","ramp_up","33.088","76.173","4965109.344","337.483"
"2026-08-17T04:27:12.6446529Z","ramp_up","12.799","76.084","19433427.919","136.746"
"2026-08-17T04:27:14.6907396Z","ramp_up","22.067","76.263","13235667.695","29955.465"
"2026-08-17T04:27:16.7436024Z","ramp_up","35.082","76.663","4225563.139","127434.695"
"2026-08-17T04:27:18.8032802Z","steady_4vu","18.788","76.59","1485713.98","136.624"
"2026-08-17T04:27:20.8528323Z","steady_4vu","17.601","76.732","73151.776","471.288"
"2026-08-17T04:27:22.9027416Z","steady_4vu","19.762","76.612","256591.853","177.575"
"2026-08-17T04:27:24.9658526Z","steady_4vu","16.44","76.564","403101.837","132534.491"
"2026-08-17T04:27:27.0272395Z","steady_4vu","18.184","75.84","3508150.71","485.035"
"2026-08-17T04:27:29.0782108Z","steady_4vu","26.547","75.815","47059391.168","3261.81"
"2026-08-17T04:27:31.1216631Z","steady_4vu","23.282","75.76","56271493.72","12527.621"
"2026-08-17T04:27:33.1607686Z","steady_4vu","18.944","75.854","34253726.943","753.479"
"2026-08-17T04:27:35.2357888Z","steady_4vu","24.615","75.858","71462875.31","3797.327"
"2026-08-17T04:27:37.2886266Z","steady_4vu","25.416","75.851","48409282.595","3610.265"
"2026-08-17T04:27:39.3551108Z","steady_4vu","27.647","75.728","52477085.497","86974.812"
"2026-08-17T04:27:41.3985277Z","steady_4vu","16.919","75.745","128522634.314","20311.591"
"2026-08-17T04:27:43.4372195Z","steady_4vu","28.384","75.775","6354991.415","138.155"
"2026-08-17T04:27:45.4755590Z","steady_4vu","64.906","74.939","27499334.848","319084.917"
"2026-08-17T04:27:47.5403859Z","steady_4vu","76.93","75.27","172553393.629","109188.571"
"2026-08-17T04:27:49.6774972Z","steady_4vu","63.861","75.436","13527791.195","1380957.632"
"2026-08-17T04:27:51.8038404Z","steady_4vu","55.292","76.188","18370616.464","177.556"
"2026-08-17T04:27:53.9494513Z","steady_4vu","36.977","76.691","19997197.174","2081.51"
"2026-08-17T04:27:56.0428168Z","steady_4vu","23.718","76.867","22470908.384","104375.657"
"2026-08-17T04:27:58.1331980Z","steady_4vu","19.897","76.966","10091270.711","388.893"
"2026-08-17T04:28:00.1872197Z","steady_4vu","41.791","76.957","6709302.339","6713.116"
"2026-08-17T04:28:02.2522841Z","steady_4vu","38.107","77.032","5783123.821","703.186"
"2026-08-17T04:28:04.3261346Z","steady_4vu","28.523","77.075","4203986.041","101181.305"
"2026-08-17T04:28:06.4379731Z","steady_4vu","28.121","77.022","5339887.925","19512.848"
"2026-08-17T04:28:08.5069415Z","steady_4vu","44.403","76.892","4493267.515","0"
"2026-08-17T04:28:10.5961787Z","steady_4vu","26.776","76.928","5594789.394","818.315"
"2026-08-17T04:28:12.6649805Z","steady_4vu","12.116","76.853","4880669.406","1379.086"
"2026-08-17T04:28:14.7207260Z","steady_4vu","52.074","77.037","5111685.487","24494.74"
"2026-08-17T04:28:16.7984424Z","steady_4vu","38.734","77.072","4921842.158","3856.755"
"2026-08-17T04:28:18.8718226Z","steady_4vu","21.185","77.068","4318250.112","532.368"
"2026-08-17T04:28:20.9459723Z","steady_4vu","10.296","76.973","4052625.928","962.616"
"2026-08-17T04:28:22.9935548Z","steady_4vu","21.217","76.921","17547153.485","266807.32"
"2026-08-17T04:28:25.0499469Z","steady_4vu","28.264","76.873","4733908.525","117083.999"
"2026-08-17T04:28:27.1078390Z","steady_4vu","21.864","76.755","5728228.425","1088.261"
"2026-08-17T04:28:29.1875079Z","steady_4vu","17.891","76.621","5649143.678","537.163"
"2026-08-17T04:28:31.2555179Z","steady_4vu","15.717","76.675","6248258.03","7255.095"
"2026-08-17T04:28:33.3214097Z","steady_4vu","17.017","76.803","5260944.95","143037.633"
"2026-08-17T04:28:35.3786094Z","steady_4vu","27.172","76.818","4738695.145","455.29"
"2026-08-17T04:28:37.4394866Z","steady_4vu","30.725","76.847","4792865.484","507.575"
"2026-08-17T04:28:39.5032896Z","steady_4vu","29.389","77.715","4715401.52","7785.841"
"2026-08-17T04:28:41.5613659Z","steady_4vu","38.35","78.04","5359174.235","1129.276"
