"timestamp_utc","spike_phase","target_vus","actual_vus_live","actual_vus_live_source","role","pid","process_available","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T14:20:38.4531004Z","pre_spike_steady_4","4","4","k6_progress","backend","11976","True","0.101","48.074","57.449","12"
"2026-08-17T14:20:38.4531004Z","pre_spike_steady_4","4","4","k6_progress","k6","24360","True","0","65.523","94.242","19"
"2026-08-17T14:20:39.7462826Z","pre_spike_steady_4","4","4","k6_progress","backend","11976","True","0.101","48.109","57.707","12"
"2026-08-17T14:20:39.7462826Z","pre_spike_steady_4","4","4","k6_progress","k6","24360","True","0","65.672","94.305","21"
"2026-08-17T14:20:41.0525255Z","pre_spike_steady_4","4","4","k6_progress","backend","11976","True","0","48.34","57.707","12"
"2026-08-17T14:20:41.0525255Z","pre_spike_steady_4","4","4","k6_progress","k6","24360","True","0","65.953","94.305","21"
"2026-08-17T14:20:42.3619587Z","pre_spike_steady_4","4","4","k6_progress","backend","11976","True","0","48.34","57.707","12"
"2026-08-17T14:20:42.3619587Z","pre_spike_steady_4","4","4","k6_progress","k6","24360","True","0","66.25","94.305","21"
"2026-08-17T14:20:43.6552210Z","pre_spike_steady_4","4","4","k6_progress","backend","11976","True","0.101","48.344","57.707","12"
"2026-08-17T14:20:43.6552210Z","pre_spike_steady_4","4","4","k6_progress","k6","24360","True","0","66.461","94.305","21"
"2026-08-17T14:20:44.9671802Z","pre_spike_steady_4","4","4","k6_progress","backend","11976","True","0","48.562","58.227","12"
"2026-08-17T14:20:44.9671802Z","pre_spike_steady_4","4","4","k6_progress","k6","24360","True","0.198","66.582","94.305","21"
"2026-08-17T14:20:46.2608269Z","pre_spike_steady_4","4","4","k6_progress","backend","11976","True","0","48.562","58.227","12"
"2026-08-17T14:20:46.2608269Z","pre_spike_steady_4","4","4","k6_progress","k6","24360","True","0","66.598","94.305","21"
"2026-08-17T14:20:47.5523159Z","pre_spike_steady_4","4","4","k6_progress","backend","11976","True","0.101","48.57","58.227","12"
"2026-08-17T14:20:47.5523159Z","pre_spike_steady_4","4","4","k6_progress","k6","24360","True","0","66.758","94.305","21"
"2026-08-17T14:20:48.8422906Z","pre_spike_steady_4","4","4","k6_progress","backend","11976","True","0","48.574","58.227","12"
"2026-08-17T14:20:48.8422906Z","pre_spike_steady_4","4","4","k6_progress","k6","24360","True","0","66.941","94.312","21"
"2026-08-17T14:20:50.1362462Z","pre_spike_steady_4","4","4","k6_progress","backend","11976","True","0","48.586","58.227","12"
"2026-08-17T14:20:50.1362462Z","pre_spike_steady_4","4","4","k6_progress","k6","24360","True","0.403","67.047","94.312","21"
"2026-08-17T14:20:51.4340188Z","pre_spike_steady_4","4","4","k6_progress","backend","11976","True","0","48.789","58.227","12"
"2026-08-17T14:20:51.4340188Z","pre_spike_steady_4","4","4","k6_progress","k6","24360","True","0","67.078","94.312","21"
"2026-08-17T14:20:52.7371875Z","pre_spike_steady_4","4","4","k6_progress","backend","11976","True","0","48.789","58.227","12"
"2026-08-17T14:20:52.7371875Z","pre_spike_steady_4","4","4","k6_progress","k6","24360","True","0.1","67.078","94.312","21"
"2026-08-17T14:20:54.0422524Z","pre_spike_steady_4","4","4","k6_progress","backend","11976","True","0.1","48.789","58.227","12"
"2026-08-17T14:20:54.0422524Z","pre_spike_steady_4","4","4","k6_progress","k6","24360","True","0.1","67.082","94.312","21"
"2026-08-17T14:20:55.3322496Z","pre_spike_steady_4","4","4","k6_progress","backend","11976","True","0","48.977","58.484","12"
"2026-08-17T14:20:55.3322496Z","pre_spike_steady_4","4","4","k6_progress","k6","24360","True","0","67.086","94.312","21"
"2026-08-17T14:20:56.6250627Z","pre_spike_steady_4","4","4","k6_progress","backend","11976","True","0","48.977","58.484","12"
"2026-08-17T14:20:56.6250627Z","pre_spike_steady_4","4","4","k6_progress","k6","24360","True","0","67.09","94.312","21"
"2026-08-17T14:20:57.9206605Z","spike_transition_4_to_32","32","4","k6_progress","backend","11976","True","0.101","48.977","58.484","12"
"2026-08-17T14:20:57.9206605Z","spike_transition_4_to_32","32","4","k6_progress","k6","24360","True","0.101","67.102","94.312","21"
"2026-08-17T14:20:59.2128851Z","spike_peak_32","32","4","k6_progress","backend","11976","True","0","48.977","58.484","12"
"2026-08-17T14:20:59.2128851Z","spike_peak_32","32","4","k6_progress","k6","24360","True","0.202","67.102","94.312","21"
"2026-08-17T14:21:00.5210802Z","spike_peak_32","32","4","k6_progress","backend","11976","True","0.1","49.227","58.742","12"
"2026-08-17T14:21:00.5210802Z","spike_peak_32","32","4","k6_progress","k6","24360","True","0","67.102","94.312","21"
"2026-08-17T14:21:01.8326068Z","spike_peak_32","32","4","k6_progress","backend","11976","True","0.099","49.309","58.742","12"
"2026-08-17T14:21:01.8326068Z","spike_peak_32","32","4","k6_progress","k6","24360","True","0","67.102","94.312","21"
"2026-08-17T14:21:03.1577176Z","spike_peak_32","32","4","k6_progress","backend","11976","True","0.098","49.309","58.742","12"
"2026-08-17T14:21:03.1577176Z","spike_peak_32","32","4","k6_progress","k6","24360","True","0.098","67.102","94.312","21"
"2026-08-17T14:21:04.4659775Z","spike_peak_32","32","4","k6_progress","backend","11976","True","0.299","49.461","58.742","12"
"2026-08-17T14:21:04.4659775Z","spike_peak_32","32","4","k6_progress","k6","24360","True","0","67.137","94.312","21"
"2026-08-17T14:21:05.7610000Z","spike_peak_32","32","4","k6_progress","backend","11976","True","0.201","49.461","58.742","12"
"2026-08-17T14:21:05.7610000Z","spike_peak_32","32","4","k6_progress","k6","24360","True","0.101","67.137","94.312","21"
"2026-08-17T14:21:07.0692675Z","spike_peak_32","32","4","k6_progress","backend","11976","True","0.1","49.461","58.742","12"
"2026-08-17T14:21:07.0692675Z","spike_peak_32","32","4","k6_progress","k6","24360","True","0.398","67.191","94.312","21"
"2026-08-17T14:21:08.3789090Z","spike_peak_32","32","4","k6_progress","backend","11976","True","0.099","49.656","59.004","12"
"2026-08-17T14:21:08.3789090Z","spike_peak_32","32","4","k6_progress","k6","24360","True","0","67.191","94.312","21"
"2026-08-17T14:21:09.6708545Z","spike_peak_32","32","4","k6_progress","backend","11976","True","0.605","50.141","59.523","12"
"2026-08-17T14:21:09.6708545Z","spike_peak_32","32","4","k6_progress","k6","24360","True","0.403","67.254","94.219","18"
"2026-08-17T14:21:10.9811164Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.894","51.105","60.395","12"
"2026-08-17T14:21:10.9811164Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.497","67.289","94.219","18"
"2026-08-17T14:21:12.2731637Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.504","52.145","63.234","12"
"2026-08-17T14:21:12.2731637Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.605","67.312","94.219","18"
"2026-08-17T14:21:13.5663981Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0","52.207","63.234","12"
"2026-08-17T14:21:13.5663981Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.101","67.32","94.219","18"
"2026-08-17T14:21:14.8559897Z","spike_peak_32","32","32","k6_progress","backend","11976","True","1.01","53.941","63.754","12"
"2026-08-17T14:21:14.8559897Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.303","67.348","94.219","18"
"2026-08-17T14:21:16.1611066Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.798","54.98","64.699","13"
"2026-08-17T14:21:16.1611066Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.299","67.695","94.648","18"
"2026-08-17T14:21:17.4537347Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.302","55.051","64.699","13"
"2026-08-17T14:21:17.4537347Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.302","67.766","94.703","18"
"2026-08-17T14:21:18.7609607Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.398","55.52","69.086","13"
"2026-08-17T14:21:18.7609607Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.1","67.781","94.703","18"
"2026-08-17T14:21:20.0574943Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.201","55.531","69.086","13"
"2026-08-17T14:21:20.0574943Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.201","67.789","94.703","18"
"2026-08-17T14:21:21.3705108Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.793","56.383","70.105","13"
"2026-08-17T14:21:21.3705108Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.099","68.195","95.047","18"
"2026-08-17T14:21:22.6641523Z","spike_peak_32","32","32","k6_progress","backend","11976","True","1.308","57.691","70.219","13"
"2026-08-17T14:21:22.6641523Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.604","68.328","95.172","18"
"2026-08-17T14:21:23.9768037Z","spike_peak_32","32","32","k6_progress","backend","11976","True","1.091","57.691","70.219","13"
"2026-08-17T14:21:23.9768037Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.595","68.363","95.18","18"
"2026-08-17T14:21:25.2841704Z","spike_peak_32","32","32","k6_progress","backend","11976","True","1.096","57.32","69.527","13"
"2026-08-17T14:21:25.2841704Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.199","69.906","96.809","18"
"2026-08-17T14:21:26.5785094Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.704","57.32","69.527","13"
"2026-08-17T14:21:26.5785094Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.201","71.754","98.969","18"
"2026-08-17T14:21:27.8861727Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.498","57.598","69.652","13"
"2026-08-17T14:21:27.8861727Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.1","72.133","99.352","18"
"2026-08-17T14:21:29.1966835Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.695","57.473","69.895","13"
"2026-08-17T14:21:29.1966835Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.199","72.141","99.352","18"
"2026-08-17T14:21:30.5060287Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.696","58.637","69.844","13"
"2026-08-17T14:21:30.5060287Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.099","72.238","99.352","18"
"2026-08-17T14:21:31.8000691Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.201","58.637","69.844","13"
"2026-08-17T14:21:31.8000691Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.101","72.469","99.578","18"
"2026-08-17T14:21:33.0883645Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.101","58.703","70.676","13"
"2026-08-17T14:21:33.0883645Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.404","72.574","99.578","18"
"2026-08-17T14:21:34.3936443Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.399","58.938","70.688","13"
"2026-08-17T14:21:34.3936443Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.698","72.582","99.578","18"
"2026-08-17T14:21:35.6977155Z","spike_peak_32","32","32","k6_progress","backend","11976","True","1.098","59.02","69.906","13"
"2026-08-17T14:21:35.6977155Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.3","72.602","99.578","18"
"2026-08-17T14:21:37.0047832Z","spike_peak_32","32","32","k6_progress","backend","11976","True","1.096","59.609","69.844","13"
"2026-08-17T14:21:37.0047832Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.199","72.609","99.578","18"
"2026-08-17T14:21:38.3140164Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.895","59.781","70.699","13"
"2026-08-17T14:21:38.3140164Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.995","72.926","99.734","18"
"2026-08-17T14:21:39.6064735Z","spike_peak_32","32","32","k6_progress","backend","11976","True","1.41","60.457","71.215","13"
"2026-08-17T14:21:39.6064735Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.403","72.93","99.734","18"
