"timestamp_utc","spike_phase","target_vus","actual_vus_live","actual_vus_live_source","cpu_percent","committed_memory_percent","disk_bytes_per_second","network_bytes_per_second"
"2026-08-17T14:21:09.6708545Z","spike_peak_32","32","4","k6_progress","21.694","85.763","5380191.298","548.95"
"2026-08-17T14:21:10.9811164Z","spike_peak_32","32","32","k6_progress","18.846","85.741","1525542.653","33890.552"
"2026-08-17T14:21:12.2731637Z","spike_peak_32","32","32","k6_progress","21.099","85.706","1356214.589","1047.245"
"2026-08-17T14:21:13.5663981Z","spike_peak_32","32","32","k6_progress","16.693","85.596","1173134.478","4477.727"
"2026-08-17T14:21:14.8559897Z","spike_peak_32","32","32","k6_progress","31.504","85.599","2383884.78","237.181"
"2026-08-17T14:21:16.1611066Z","spike_peak_32","32","32","k6_progress","25.032","85.638","1872676.486","586.638"
"2026-08-17T14:21:17.4537347Z","spike_peak_32","32","32","k6_progress","15.118","85.643","535622.461","237.937"
"2026-08-17T14:21:18.7609607Z","spike_peak_32","32","32","k6_progress","14.086","85.616","680795.732","174.644"
"2026-08-17T14:21:20.0574943Z","spike_peak_32","32","32","k6_progress","12.01","85.625","1032144.43","455.078"
"2026-08-17T14:21:21.3705108Z","spike_peak_32","32","32","k6_progress","19.98","85.636","2736712.22","595.227"
"2026-08-17T14:21:22.6641523Z","spike_peak_32","32","32","k6_progress","40.519","85.705","2147879.987","1200.585"
"2026-08-17T14:21:23.9768037Z","spike_peak_32","32","32","k6_progress","32.509","85.702","2387235.579","403.852"
"2026-08-17T14:21:25.2841704Z","spike_peak_32","32","32","k6_progress","18.639","85.653","930184.444","1249.712"
"2026-08-17T14:21:26.5785094Z","spike_peak_32","32","32","k6_progress","12.696","85.663","1798948.979","887.556"
"2026-08-17T14:21:27.8861727Z","spike_peak_32","32","32","k6_progress","23.463","85.69","546579.952","521.819"
"2026-08-17T14:21:29.1966835Z","spike_peak_32","32","32","k6_progress","20.351","85.61","549119.575","238.552"
