"timestamp_utc","role","pid","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T03:26:31.5963196Z","backend","15848","","55.047","61.953","14"
"2026-08-17T03:26:31.5963196Z","k6","18392","","6.922","45.84","2"
"2026-08-17T03:26:32.6756209Z","backend","15848","0.241","55.074","61.953","14"
"2026-08-17T03:26:32.6756209Z","k6","18392","1.327","32.781","60.449","15"
"2026-08-17T03:26:33.7118345Z","backend","15848","0.377","55.066","62.41","14"
"2026-08-17T03:26:33.7118345Z","k6","18392","0","33.027","60.605","15"
"2026-08-17T03:26:34.7397860Z","backend","15848","0","55.066","62.41","14"
"2026-08-17T03:26:34.7397860Z","k6","18392","0.253","33.312","60.887","15"
"2026-08-17T03:26:35.7841621Z","backend","15848","0","55.066","62.41","14"
"2026-08-17T03:26:35.7841621Z","k6","18392","0","33.52","61.074","15"
"2026-08-17T03:26:36.8111435Z","backend","15848","0","55.074","62.41","14"
"2026-08-17T03:26:36.8111435Z","k6","18392","0.127","33.781","61.309","15"
"2026-08-17T03:26:37.8410782Z","backend","15848","0.506","55.383","62.469","14"
"2026-08-17T03:26:37.8410782Z","k6","18392","0.253","34.219","61.551","15"
"2026-08-17T03:26:38.8986994Z","backend","15848","0","55.383","62.469","14"
"2026-08-17T03:26:38.8986994Z","k6","18392","0","34.219","61.551","15"
"2026-08-17T03:26:39.9506010Z","backend","15848","0","55.383","62.469","14"
"2026-08-17T03:26:39.9506010Z","k6","18392","0.248","34.227","61.551","15"
"2026-08-17T03:26:41.0417695Z","backend","15848","0","55.383","62.469","14"
"2026-08-17T03:26:41.0417695Z","k6","18392","0.239","34.234","61.551","15"
"2026-08-17T03:26:42.0596093Z","backend","15848","0","55.383","62.469","14"
"2026-08-17T03:26:42.0596093Z","k6","18392","0","34.305","61.621","15"
"2026-08-17T03:26:43.1054164Z","backend","15848","0.249","55.383","62.469","14"
"2026-08-17T03:26:43.1054164Z","k6","18392","0","34.512","61.777","15"
"2026-08-17T03:26:44.1444425Z","backend","15848","0.251","55.383","62.469","14"
"2026-08-17T03:26:44.1444425Z","k6","18392","0.376","34.512","61.777","15"
"2026-08-17T03:26:45.1744318Z","backend","15848","0.253","55.617","62.727","14"
"2026-08-17T03:26:45.1744318Z","k6","18392","0.126","34.512","61.777","15"
"2026-08-17T03:26:46.2048219Z","backend","15848","0.253","55.598","62.512","14"
"2026-08-17T03:26:46.2048219Z","k6","18392","0","34.52","61.777","15"
"2026-08-17T03:26:47.2572694Z","backend","15848","0.371","55.695","62.875","14"
"2026-08-17T03:26:47.2572694Z","k6","18392","0.124","34.562","61.777","15"
"2026-08-17T03:26:48.2900753Z","backend","15848","0","55.695","62.875","14"
"2026-08-17T03:26:48.2900753Z","k6","18392","0.252","34.562","61.777","15"
"2026-08-17T03:26:49.3269257Z","backend","15848","0","55.695","62.875","14"
"2026-08-17T03:26:49.3269257Z","k6","18392","0.251","34.562","61.777","15"
"2026-08-17T03:26:50.3646285Z","backend","15848","1.004","56.441","63.695","14"
"2026-08-17T03:26:50.3646285Z","k6","18392","0.376","34.566","61.777","15"
"2026-08-17T03:26:51.3884851Z","backend","15848","0","56.441","63.695","14"
"2026-08-17T03:26:51.3884851Z","k6","18392","0.254","34.566","61.777","15"
"2026-08-17T03:26:52.4196949Z","backend","15848","0.126","56.441","63.695","14"
"2026-08-17T03:26:52.4196949Z","k6","18392","0.126","34.57","61.777","15"
"2026-08-17T03:26:53.4601621Z","backend","15848","0","56.441","63.695","14"
"2026-08-17T03:26:53.4601621Z","k6","18392","0","34.621","61.824","15"
"2026-08-17T03:26:54.4863964Z","backend","15848","0","56.441","63.695","14"
"2026-08-17T03:26:54.4863964Z","k6","18392","0","34.621","61.824","15"
"2026-08-17T03:26:55.5105992Z","backend","15848","0","56.441","63.695","14"
"2026-08-17T03:26:55.5105992Z","k6","18392","0","34.621","61.824","15"
"2026-08-17T03:26:56.5463250Z","backend","15848","0.126","56.441","63.695","14"
"2026-08-17T03:26:56.5463250Z","k6","18392","0.126","34.641","61.824","15"
"2026-08-17T03:26:57.5822202Z","backend","15848","0.377","56.441","63.695","14"
"2026-08-17T03:26:57.5822202Z","k6","18392","0","34.641","61.824","15"
"2026-08-17T03:26:58.6045333Z","backend","15848","0","56.441","63.695","14"
"2026-08-17T03:26:58.6045333Z","k6","18392","0.255","34.754","61.934","15"
"2026-08-17T03:26:59.6359834Z","backend","15848","0.505","56.473","63.773","14"
"2026-08-17T03:26:59.6359834Z","k6","18392","0.505","34.766","61.934","15"
"2026-08-17T03:27:00.6604710Z","backend","15848","0.127","56.473","63.773","14"
"2026-08-17T03:27:00.6604710Z","k6","18392","0","34.789","61.934","15"
"2026-08-17T03:27:01.6788531Z","backend","15848","0.128","56.543","63.805","14"
"2026-08-17T03:27:01.6788531Z","k6","18392","0","34.789","61.934","15"
"2026-08-17T03:27:02.7166520Z","backend","15848","0.251","56.547","63.809","14"
"2026-08-17T03:27:02.7166520Z","k6","18392","0.251","34.828","61.996","17"
"2026-08-17T03:27:03.7466223Z","backend","15848","0","56.547","63.809","14"
"2026-08-17T03:27:03.7466223Z","k6","18392","0.759","34.676","61.809","17"
"2026-08-17T03:27:04.7714718Z","backend","15848","0.127","56.547","63.809","14"
"2026-08-17T03:27:04.7714718Z","k6","18392","0.254","34.676","61.809","17"
"2026-08-17T03:27:05.7990118Z","backend","15848","0.253","56.547","63.809","14"
"2026-08-17T03:27:05.7990118Z","k6","18392","0.127","34.695","61.809","17"
"2026-08-17T03:27:06.8203367Z","backend","15848","0","56.547","63.809","14"
"2026-08-17T03:27:06.8203367Z","k6","18392","0","34.695","61.809","17"
"2026-08-17T03:27:07.8418667Z","backend","15848","0","56.547","63.809","14"
"2026-08-17T03:27:07.8418667Z","k6","18392","0","34.695","61.809","17"
"2026-08-17T03:27:08.8701269Z","backend","15848","0","56.547","63.809","14"
"2026-08-17T03:27:08.8701269Z","k6","18392","0.253","34.699","61.809","17"
"2026-08-17T03:27:09.9367572Z","backend","15848","0","56.547","63.809","14"
"2026-08-17T03:27:09.9367572Z","k6","18392","0.366","34.754","61.855","17"
"2026-08-17T03:27:10.9721282Z","backend","15848","0","56.547","63.809","14"
"2026-08-17T03:27:10.9721282Z","k6","18392","0.252","34.754","61.855","17"
"2026-08-17T03:27:12.0021306Z","backend","15848","0.506","56.602","63.809","14"
"2026-08-17T03:27:12.0021306Z","k6","18392","0","34.754","61.855","17"
"2026-08-17T03:27:13.0326799Z","backend","15848","0.758","56.602","63.809","14"
"2026-08-17T03:27:13.0326799Z","k6","18392","0","34.762","61.855","17"
"2026-08-17T03:27:14.0658505Z","backend","15848","0.252","56.609","63.809","14"
